,4,8,12,16,20
5,0.7865416666666667,0.8202708333333331,0.7989791666666666,0.8008541666666668,0.8094166666666668
15,0.8767916666666667,0.9145833333333333,0.9077291666666666,0.9177083333333333,0.9236666666666664
25,0.7726666666666664,0.9336250000000003,0.9372083333333336,0.9375416666666667,0.9457708333333331
35,0.6731458333333333,0.9332291666666667,0.9498333333333334,0.9539583333333332,0.9532916666666668
45,0.32766666666666666,0.9272083333333334,0.9508958333333335,0.9631875,0.9605416666666667
55,0.25114583333333335,0.9008749999999998,0.9503958333333336,0.9589583333333332,0.9647708333333334
65,0.2224375,0.8944791666666667,0.9452708333333334,0.9619791666666668,0.9641875000000001
75,0.15729166666666664,0.8278958333333334,0.9456041666666669,0.962520833333333,0.9688125000000002
85,0.17035416666666667,0.7969166666666665,0.9358125,0.9590833333333333,0.9687708333333334
95,0.1840208333333333,0.8038541666666668,0.9358333333333331,0.9589166666666666,0.9700624999999999
