,4,8,12,16,20
5,0.5454579943631378,0.524499485364982,0.5742967436569076,0.6103204329524722,0.5880238788042749
15,0.8744609163062913,0.26386782889919624,0.26833307066666234,0.273017320175256,0.274957697625671
25,2.288573913914817,0.2345617996581963,0.22325937636196616,0.19713756567133323,0.18521336719925913
35,2.2950326967239376,0.3310629727052791,0.18615397143576828,0.1641540444695523,0.1640151811976518
45,2.2999632675307136,0.5088474402470249,0.17228915161453195,0.14790427639548268,0.13534471338747867
55,2.2991931911877215,0.7380136307648251,0.21022475187799755,0.1530233820946887,0.12859896917162192
65,2.2950687650271826,1.0029075500369071,0.228661233756159,0.14982969804799978,0.11949114499347552
75,2.298235973290035,1.09763828090259,0.2850973641233785,0.14925049760511944,0.122889981996268
85,2.298723029068539,1.3512608953033174,0.3416948858329228,0.16123625577826584,0.1318977549569016
95,2.3009584351948336,2.2950078327315193,0.4614837706089019,0.19095456476722447,0.12330215105121686
