,4,8,12,16,20
100,25.0,50.0,52.0,51.0,62.0
150,29.0,41.0,56.0,64.0,59.0
200,32.0,44.0,65.0,70.0,68.0
250,35.0,49.0,70.0,73.0,75.0
300,36.0,55.0,70.0,65.0,83.0
