,4,8,12,16,20
5,0.8152874999999998,0.8107999999999997,0.7935,0.7909249999999998,0.8173625000000002
15,0.7654375000000003,0.9205,0.9191750000000001,0.9126749999999998,0.9152875000000001
25,0.24087499999999998,0.9294750000000002,0.9348624999999998,0.9433500000000002,0.9460124999999998
35,0.24524999999999994,0.9133499999999998,0.9475124999999995,0.9541375000000001,0.9547499999999998
45,0.17255000000000004,0.8638374999999999,0.9551749999999999,0.9598500000000001,0.9628375
55,0.16468749999999996,0.7950250000000001,0.9451374999999999,0.9586125,0.9656375000000003
65,0.184975,0.6943624999999999,0.9401875000000003,0.9595125,0.9686125000000001
75,0.167025,0.7002624999999999,0.9276500000000002,0.9623125,0.9688624999999998
85,0.10408750000000001,0.6669374999999998,0.9118875,0.9585750000000002,0.9675749999999997
95,0.10443750000000002,0.1652125,0.8763875000000003,0.9536250000000004,0.9684999999999999
