,4,8,12,16
100,0.133955,0.258035,0.8097774999999998,0.87687
150,0.1405275,0.12162500000000001,0.702555,0.8572375000000001
200,0.11273,0.12215499999999999,0.47577250000000004,0.779995
250,0.1058725,0.1293725,0.1632025,0.73541
300,0.1115675,0.1523875,0.11913750000000001,0.66561
