,4,8,12,16,20
5,0.5999649903603963,0.5391760601883842,0.5670753708197956,0.5713829365869363,0.5281583180739766
15,0.44635016637898633,0.2675352314043612,0.28581004921524295,0.26412069304358393,0.24770096829604535
25,0.8875848545914605,0.22456703390039146,0.2116843463675607,0.20965506102712386,0.1928328111191236
35,1.2938164356208983,0.2478417876132188,0.18322463162420763,0.16687776749687536,0.1643076834357565
45,2.2363266082037065,0.287749881190913,0.17183246963790486,0.14148997585732667,0.1366060269020853
55,2.2814995033400405,0.3656017331495172,0.18749395119735882,0.15054249894095678,0.131728995830885
65,2.2839574989818394,0.43687353886309127,0.21227396521717312,0.14857044279397952,0.13046590440596142
75,2.2925884876932416,0.5934117570874238,0.2071061016370853,0.15664361180915007,0.11682797179424335
85,2.298227337428502,0.7475739046931267,0.2418687712401152,0.16248837218265094,0.12976813495846554
95,2.2806097047669547,0.8104195574919382,0.24421136572602245,0.16705025316526495,0.11507375214160201
